name,description,card_type,reward_type
"Never Surrender (1)","After failing a challenge, you may immediately rechallenge the zone with a new challenge (excluding the one that you have previously failed).","reward","powerup"
"Never Surrender (2)","After failing a challenge, you may immediately rechallenge the zone with a new challenge (excluding the one that you have previously failed).","reward","powerup"
"All Aboard the Enemy Express (1)","Starting from a tram stop within a zone currently controlled by another team, you may take the tram to any other stop.","reward","powerup"
"All Aboard the Enemy Express (2)","Starting from a tram stop within a zone currently controlled by another team, you may take the tram to any other stop.","reward","powerup"
"All Aboard the Enemy Express (3)","Starting from a tram stop within a zone currently controlled by another team, you may take the tram to any other stop.","reward","powerup"
"All Aboard the Edinburgh Express (1)","Starting from any tram stop, you may take the tram 1-3 stops in any direction.","reward","powerup"
"All Aboard the Edinburgh Express (2)","Starting from any tram stop, you may take the tram 1-3 stops in any direction.","reward","powerup"
"All Aboard the Edinburgh Express (3)","Starting from any tram stop, you may take the tram 1-3 stops in any direction.","reward","powerup"
"All Aboard the Edinburgh Express (4)","Starting from any tram stop, you may take the tram 1-3 stops in any direction.","reward","powerup"
"All Aboard the Edinburgh Express (5)","Starting from any tram stop, you may take the tram 1-3 stops in any direction.","reward","powerup"
"All Aboard the Edinburgh Express (6)","Starting from any tram stop, you may take the tram 1-3 stops in any direction.","reward","powerup"
"The Curse of Gridlock","Choose an opposing team; the chosen team must walk to their next challenge. If currently aboard public transport, disembark at the next stop.","reward","curse"
"The Curse of the Tourist Trap - Scott Monument","Choose an opposing team, the chosen team must take a photo with the Scott Monument before starting their next challenge.","reward","curse"
"The Curse of the Tourist Trap - St Giles' Cathedral","Choose an opposing team, the chosen team must take a photo with St Giles' Cathedral before starting their next challenge.","reward","curse"
"The Curse of the Tourist Trap - National Monument of Scotland","Choose an opposing team, the chosen team must take a photo with the National Monument of Scotland before starting their next challenge.","reward","curse"
"Out of Service (1)","Choose an opposing team and three bus routes, the chosen team may not use those bus routes for 15 minutes.","reward","curse"
"Out of Service (2)","Choose an opposing team and three bus routes, the chosen team may not use those bus routes for 15 minutes.","reward","curse"
"Out of Service (3)","Choose an opposing team and three bus routes, the chosen team may not use those bus routes for 15 minutes.","reward","curse"
"The Curse of Disorientation","Choose an opposing team, at each traffic light-controlled intersection the chosen team must assign each number on a six-sided dice to a direction. They must then roll a dice (online) and continue in the corresponding direction. This effect lasts for 10 minutes.","reward","curse"
"The Curse of the Local Guide","Choose an opposing team, the chosen team must nominate a player who will then give a walking tour of the city for 5 minutes. During this time the guide may not discuss game strategy or directions. The information provided on the tour need not be factually accurate.","reward","curse"
"Bail Out (1)","Choose an opposing team, if the chosen team is currently aboard public transport they must disembark at the next available stop.","reward","curse"
"Bail Out (2)","Choose an opposing team, if the chosen team is currently aboard public transport they must disembark at the next available stop.","reward","curse"
"Bail Out (3)","Choose an opposing team, if the chosen team is currently aboard public transport they must disembark at the next available stop.","reward","curse"
"Bail Out (4)","Choose an opposing team, if the chosen team is currently aboard public transport they must disembark at the next available stop.","reward","curse"
"The Curse of the Missed Connection","Choose an opposing team, if the chosen team is currently aboard public transport they may not disembark for 10 minutes. This curse ignores tram stop restrictions (e.g. 3 stops), but if exceeded the chosen team must disembark at the next stop once the curse has expired. This curse can be cleared immediately if you are forced to exit the game area.","reward","curse"
"The Curse of Local Knowledge","Choose an opposing team, one player on the chosen team must, without conferring with their teammates, think of an Edinburgh neighbourhood, such as Newington, Marchmont, or Fountainbridge. The remaining players must correctly guess the neighbourhood that their elected teammate is thinking of before continuing on foot or disembarking public transport. If incorrect, they must wait 3 minutes before guessing again. The elected teammate may change their chosen neighbourhood between guesses. This curse must be completed before starting a new challenge.","reward","curse"
"The Curse of the Border Breakdown","Choose an opposing team, the chosen team may not enter a zone controlled by the casting team for 10 minutes. If the chosen team is currently within an area controlled by the casting team, they must exit at the closest boundary, unless currently attempting a challenge in the current area.","reward","curse"
"The Curse of the Bagpipe Blockade","Choose an opposing team, the chosen team may not directly cross The Royal Mile or Princes Street for 15 minutes. This curse applies to travel both on-foot and on public transport.","reward","curse"
"The Curse of the Obsessive Ornithologists","Choose an opposing team. Before starting their next challenge, the chosen team must photograph three distinct birds from the following list: a pigeon, a seagull, a magpie, a jackdaw, or a crow. The birds do not need to appear in the same photo, but both must be grounded (not in flight) when photographed.","reward","curse"
"Did You Leave Something Behind? (1)","Choose an opposing team. The chosen team must return the zone where they completed their last challenge before they can start their next challenge. If cursed while completing a challenge, the previous zone cannot be the zone that you are currently in.","reward","curse"
"Did You Leave Something Behind? (2)","Choose an opposing team. The chosen team must return the zone where they completed their last challenge before they can start their next challenge. If cursed while completing a challenge, the previous zone cannot be the zone that you are currently in.","reward","curse"
"The Curse of Levitation","Choose an opposing team. The chosen team must nominate a team member who cannot touch the ground for 5 minutes.","reward","curse"
"Switcheroo (1)","Choose an opposing team. The members of the chosen team must use only their non-dominant hand for 10 minutes.","reward","curse"
"Switcheroo (2)","Choose an opposing team. The members of the chosen team must use only their non-dominant hand for 10 minutes.","reward","curse"
"Shuffle Challenges (1)","Replaces a random number of the available challenges with new challenges from the challenge deck.","reward","powerup"
"Shuffle Challenges (2)","Replaces a random number of the available challenges with new challenges from the challenge deck.","reward","powerup"
